,cluster,dispo_calories,dispo_proteines,ratio_proteines_animales,population,population_croissance,pib,ppa,pib_croissance,poulet_import-export,PC1,PC2
0,0,2894.846153846154,81.64653846153846,0.40602509726032837,26.062976423076922,1.2371203533278505,22403.076923076922,0.015456809752391686,1.054287276759258,864.2072616523928,-0.10114544052579043,0.14790528730873606
1,1,2458.9285714285716,62.879999999999995,0.23040864583814422,27.856962142857146,1.3013562612736072,4304.75,0.0002521004305049701,1.2990054542705487,1279.5135053604558,0.2490125275349397,0.2673959579217706
2,2,3106.6206896551726,88.22689655172414,0.5037630476277287,29.239332241379312,1.0391907386015569,24292.93793103448,0.004970178673689914,1.3154408201806993,49.599890140606675,0.06416638469452893,-0.15233461599695536
3,3,2691.0,76.27799999999999,0.3164388195070052,602.3249772,1.1091403382820304,7073.9800000000005,7.852028984909701e-05,1.7946025881899952,133.14643683639014,0.5887165510703997,-0.16135990312055587
4,4,3367.0,103.74692307692308,0.5963358845983454,53.57230757692308,1.0462103631623412,43343.18461538462,0.003883533663023939,1.0378823941229312,5.3260903068724765,-0.21772314781969018,-0.09094528851605516
